,link,title,bias rating,factual reporting,country,press freedom rating,media type,traffic/popularity,mbfc credibility rating
115,https://www.congress.gov/,Congress.gov,least biased,very high,usa,mostly free,organization/foundation,high traffic,high credibility
116,https://www.cbo.gov/,Congressional Budget Office (CBO),least biased,very-high,usa,,organization/foundation (government),medium traffic,high credibility
117,https://constitutioncenter.org,Constitution Daily,least biased,high,usa,mostly free,organization/foundation,medium traffic,high credibility
118,https://www.consumerreports.org,Consumer Reports,least biased,high,usa,mostly free,magazine,high traffic,high credibility
119,https://cookpolitical.com/,Cook Political Report,least biased,high,usa,,website,medium traffic,high credibility
120,https://www.corriere.it/,Corriere Della Sera,least biased,high,italy,moderate freedom,newspaper,high traffic,high credibility
121,https://www.coronavirus.gov/,Coronavirus.gov,least biased,high,usa,mostly free,organization/foundation,high traffic,high credibility
122,https://www.gazettetimes.com/,Corvallis Gazette-Times,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
123,https://www.cfr.org/,Council on Foreign Relations,least biased,high,usa,,organization/foundation,medium traffic,high credibility
124,https://www.countable.com/,Countable,least biased,high,usa,mostly free,organization/foundation,minimal traffic,high credibility
125,https://www.countryliving.com/,Country Living,least biased,high,usa,mostly free,magazine,high traffic,high credibility
126,https://www.courthousenews.com,Courthouse News Service,least biased,high,usa,,website,medium traffic,high credibility
127,https://www.courttv.com/,Court TV,least biased,high,usa,mostly free,tv station,high traffic,high credibility
128,https://covidtracking.com/,The Covid Tracking Project,least biased,high,usa,mostly free,website,minimal traffic,high credibility
129,https://www.cp24.com/,CP24,least biased,high,canada,,tv station,high traffic,high credibility
130,https://www.craigdailypress.com/,Craig Press,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
131,https://www.crainscleveland.com/,Crain’s Cleveland Business,least biased,high,usa,,magazine,medium traffic,high credibility
132,https://www.crainsdetroit.com/,Crains Detroit,least biased,high,usa,,magazine,medium traffic,high credibility
133,https://cruxnow.com/,Crux,least biased,high,usa,mostly free,website,medium traffic,high credibility
134,https://www.ctvnews.ca/,CTV News,least biased,high,canada,,tv station,high traffic,high credibility
135,https://starexponent.com/,Culpeper Star-Exponent,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
136,https://dccircuitbreaker.org,D.C. Circuit Breaker,,high,usa,,,,
137,https://www.law.com/dailybusinessreview/,Daily Business Review,least biased,high,usa (44/180 press freedom),,website,medium traffic,high credibility
138,https://www.dailycamera.com,Daily Camera,,high,usa,,,,
139,https://www.messengernews.net/,Daily Freeman-Journal,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
140,http://www.daily-journal.com,Daily Journal (Illinois),,high,usa,,,,
141,https://dailyjournalonline.com,Daily Journal (Missouri),,high,usa,,,,
142,https://www.dailymaverick.co.za/,Daily Maverick,,high,south africa,,,,
143,https://nonpareilonline.com/,Daily Nonpareil,least biased,high,usa,,newspaper,minimal traffic,high credibility
144,https://www.dailyrecord.com/,Daily Record,least biased,high,usa (45/180 press freedom),,newspaper,medium traffic,high credibility
145,https://godanriver.com/,Danville Register & Bee,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
146,http://www.darientimes.com/,Darien Times,,high,usa,,,,
147,https://www.daytondailynews.com,Dayton Daily News,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
148,https://www.defensenews.com,Defense News,,high,usa,,,,
149,https://www.defenseone.com/,Defense One,least biased,high,usa (44/180 press freedom),,website,medium traffic,high credibility
150,https://dbrnews.com/,Denison Bulletin Review,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
151,https://www.dentonrc.com,Denton Record-Chronicle,,high,usa,,,,
152,https://www.desmoinesregister.com/,The Des Moines Register,least biased,high,usa,mostly free,newspaper,high traffic,high credibility
153,https://www.standaard.be/,De Standaard,least biased,high,belgium,mostly free,newspaper,high traffic,high credibility
154,www.detik.com/,Detik.com,least biased,mostly factual,indonesia,limited freedom,website,high traffic,high credibility
155,http://www.differencebetween.net,DifferenceBetween.net,,very high,usa,,,,
156,https://www.digi24.ro/,Digi24,least biased,high,romania,moderate freedom,tv station,high traffic,high credibility
157,https://www.digitaljournal.com/,Digital Journal,least biased,high,usa (44/180 press freedom),,website,medium traffic,high credibility
158,https://qconline.com/,Dispatch – Argus,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
159,https://www.dmagazine.com/,D Magazine,least biased,high,usa,mostly free,magazine,medium traffic,high credibility
160,https://www.doctorswithoutborders.org/,Doctors Without Borders,least biased,high,france (34/180 press freedom),,organization/foundation,medium traffic,high credibility
161,https://dothaneagle.com/,Dothan Eagle,least biased,high,usa,,newspaper,medium traffic,high credibility
162,https://www.dpa.com/,DPA German Press Agency,least biased,high,germany (13/180 press freedom),,news agency,high traffic,high credibility
163,https://www.duluthnewstribune.com,Duluth News Tribune,,high,usa,,,,
164,https://www.eagletribune.com/,Eagle Tribune,least biased,high,usa (45/180 press freedom),,newspaper,medium traffic,high credibility
165,https://www.edp24.co.uk/,Eastern Daily Press (UK),least biased,high,united kingdom,mostly free,newspaper,high traffic,high credibility
166,https://www.eastidahonews.com/,East Idaho News,least biased,high,usa,mostly free,website,medium traffic,high credibility
167,https://www.eatthis.com/,Eat This Not That,least biased,mostly factual,usa,,website,high traffic,high credibility
168,https://www.leadertelegram.com/,Eau Claire Leader-Telegram,,high,usa,,,,
169,https://elkodaily.com/,Elko Daily Free Press,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
170,https://www.elnuevodia.com/english/,El Nuevo Dia,,high,usa / self governing commonwealth puerto rico,,,,
171,https://www.yoursun.com/englewood/,Englewood Sun,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
172,http://www.goerie.com,Erie Times-News,,high,usa,,,,
173,https://news.err.ee/,ERR News (Estonia Public Broadcasting),least biased,high,estonia,,tv station,high traffic,high credibility
174,https://www.eurasiagroup.net/,Eurasia Group,,high,usa,,,,
175,https://www.times-standard.com/,Eureka Times-Standard,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
176,https://www.everycrsreport.com/,Every CRS Report,,very high,usa,,,,
177,https://www.factcheck.org/,FactCheck.org,least biased,very-high,usa (45/180 press freedom),,organization/foundation,high traffic,high credibility
178,https://www.factwire.org/,Factwire News Agency,,high,hong kong,,,,
179,https://www.fayobserver.com/,Fayetteville Observer,least biased,high,usa,,newspaper,medium traffic,high credibility
180,https://federalnewsnetwork.com/,Federal News Network,,high,usa,,,,
181,https://www.federaltimes.com/,Federal Times,least biased,high,usa (44/180 press freedom),,website/magazine,minimal traffic,high credibility
182,https://www.ft.com/,Financial Times,least biased,high,united kingdom,,newspaper,high traffic,high credibility
183,https://www.firstcoastnews.com/,First Coast News,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
184,https://firstdraftnews.org/,First Draft News,least biased,high,usa (44/180 press freedom),,organization/foundation,minimal traffic,high credibility
185,https://floridapolitics.com/,Florida Politics,least biased,high,usa,mostly free,website,medium traffic,high credibility
186,https://www.jacksonville.com/,Florida Times-Union,,high,usa,,,,
187,https://www.foreignaffairs.com/,Foreign Affairs,least biased,high,usa (44/180 press freedom),,journal,medium traffic,high credibility
188,https://foreignpolicy.com/,Foreign Policy,least biased,high,usa (45/180 press freedom),,magazine,high traffic,high credibility
189,https://www.messengernews.net/,Forty Dodge Messenger,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
190,https://www.fosters.com/,Foster’s Daily Democrat,,high,usa,,,,
191,https://www.fourstateshomepage.com/,FourStatesHomepage.com,least biased,high,usa,,tv station,medium traffic,high credibility
192,https://www.france24.com/en,France24,least biased,high,france (34/180 press freedom),,tv station,high traffic,high credibility
193,https://thefranklinnewspost.com/,Franklin News-Post,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
194,https://fredericksburg.com/,Fredericksburg Free Lance Star,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
195,https://www.fredericknewspost.com/,Frederick News-Post,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
196,https://fremonttribune.com/,Fremont Tribune,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
197,https://www.advocate-news.com/,FT Bragg Advocate-News,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
198,https://fullfact.org/,Full Fact (UK),,high,united kingdom,,,,
199,https://news.gallup.com,Gallup,least biased,very high,usa (45/180 press freedom),,organization/foundation,high traffic,high credibility
200,https://www.geek.com,Geek.com,,high,usa,,,,
201,https://www.sun-courier.com/,Gladbrook Sun-Courier,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
202,https://www.postindependent.com/,Glenwood Springs Post Independent,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
203,https://www.globalintegrity.org/,Global Integrity,,high,usa,,,,
204,https://www.globalslaveryindex.org,Global Slavery Index,,high,australia,,,,
205,http://globegazette.com,Globe Gazette (Iowa),,high,usa,,,,
206,https://www.goodnewsnetwork.org/,GoodNewsNetwork,least biased,high,usa (45/180 press freedom),,website,medium traffic,high credibility
207,https://www.gao.gov,US Government Accountability Office (GAO),,high,usa,,,,
208,https://www.govtrack.us/,GovTrack,,high,usa,,,,
209,https://theindependent.com/,Grand Island Independent,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
210,https://www.greatfallstribune.com,Great Falls Tribune,,high,usa,,,,
211,https://www.greenbaypressgazette.com,Green Bay Press-Gazette,,high,usa,,,,
212,https://www.greenvilleonline.com/,Greenville News,,high,usa,,,,
213,https://ground.news/,Ground News,least biased,mostly factual,canada,mostly free,website/app,high traffic,high credibility
214,https://group30.org/,Group of Thirty,,high,usa,,,,
215,https://www.journal-news.com/,Hamilton Journal-News,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
216,https://hanfordsentinel.com,Hanford Sentinel,,high,usa,,,,
217,https://hbr.org,Harvard Business Review,least biased,high,usa (44/180 press freedom),,magazine,high traffic,high credibility
218,https://news.harvard.edu/,Harvard Gazette,least biased,high,usa (45/180 press freedom),,website,medium traffic,high credibility
219,http://www.hastingstribune.com,Hastings Tribune,,high,usa,,,,
220,https://www.healthcarefinancenews.com/,Healthcare Finance News,least biased,high,usa (44/180 press freedom),,website,minimal traffic,high credibility
221,https://herald-review.com,Herald & Review (Illinois),least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
222,https://heterodoxacademy.org,Heterodox Academy,least biased,high,usa (44/180 press freedom),,organization/foundation,minimal traffic,high credibility
223,https://hickoryrecord.com/,Hickory Daily Record,least biased,high,usa,mostly free,newspaper,medium traffic,high credibility
224,http://www.homelandsecuritynewswire.com,Homeland Security News Wire,,high,usa,,,,
225,https://www.howstuffworks.com/,HowStuffWorks,,very high,usa,,,,
226,https://www.howtogeek.com,How-To Geek,,very high,usa,,,,
227,https://www.i24news.tv,I24 News,,high,israel,,,,
228,https://icitizen.com,ICitizen,,high,usa,,,,
229,https://www.postregister.com/,Idaho Falls Post Register,least biased,high,usa,mostly free,newspaper,minimal traffic,high credibility
230,http://www.idahostatesman.com,Idaho Statesman,,high,usa,,,,
231,https://www.imediaethics.org,iMediaEthics,,high,usa,,,,
232,https://www.inc.com/,Inc. Magazine,least biased,high,usa,mostly free,magazine,high traffic,high credibility
233,https://helenair.com/,Independent Record (Montana),,high,usa,,,,
234,https://ivn.us/,Independent Voter Network (IVN),,high,usa,,,,
235,https://www.indexmundi.com/,IndexMundi,least biased,high,usa,mostly free,website,medium traffic,high credibility
236,https://www.indystar.com/,Indianapolis Star,,high,usa,,,,
237,https://www.dailybulletin.com,Inland Valley Daily Bulletin,,high,usa,,,,
238,https://iwpr.org,Institute for Women’s Policy Research (IWPR),least biased,high,usa,mostly free,organization/foundation,minimal traffic,high credibility
239,https://www.icij.org/,International Consortium of Investigative Journalists,,very high,usa,,,,
240,https://www.iea.org/,International Energy Agency (IEA),least biased,high,france (34/180 press freedom),,organization/foundation,medium traffic,high credibility
241,https://www.cambridge.org/core/journals/international-organization,International Organization,,very high,united kingdom,,,,
242,https://ipi.media/,International Press Institute,least biased,very high,austria,mostly free,organization/foundation,minimal traffic,high credibility
243,https://www.rescue.org/,International Rescue Committee (IRC),,high,usa,,,,
244,https://www.ire.org/,Investigative Reporters and Editors,,very high,usa,,,,
245,https://www.investing.com/,Investing.com,least biased,mixed,cyprus,mostly free,website,high traffic,medium credibility
246,https://www.investopedia.com,Investopedia,least biased,high,usa (44/180 press freedom),,website,high traffic,high credibility
247,https://www.ipsos.com,Ipsos Polling,least biased,high,france,mostly free,organization/foundation,medium traffic,high credibility
248,https://www.jacksonsun.com,Jackson Sun,,high,usa,,,,
249,https://www.janes.com/,Janes Information Group,,high,united kingdom,,,,
250,https://www.japantimes.co.jp/,Japan Times,least biased,high,japan,moderate freedom,newspaper,high traffic,high credibility
251,https://www.jta.org/,Jewish Telegraphic Agency (JTA),,high,usa,,,,
252,http://www.journalgazette.net/,Journal Gazette,,high,usa,,,,
253,http://justicedenied.org,Justice Denied,,high,usa,,,,
254,https://www.kadn.com/,KADN – Lafayette News,least biased,high,usa,mostly free,tv station,minimal traffic,high credibility
255,https://www.kagstv.com/,KAGS – Bryan News,least biased,high,usa,mostly free,tv station,minimal traffic,high credibility
256,https://www.kait8.com/,KAIT8-TV,,high,usa,,,,
257,https://www.kalb.com/,KALB – Central Louisiana News,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
258,https://www.yaktrinews.com/,KAPP – Yakima News,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
259,https://www.kare11.com/,KARE11,least biased,high,usa,mostly free,tv station,high traffic,high credibility
260,https://www.kark.com/,KARK – Little Rock News,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
261,https://www.alaskasnewssource.com/,KATH – Juneau,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
262,https://www.alaskasnewssource.com/,KAUU – Anchorage,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
263,https://www.newschannel6now.com/,KAUZ – Wichita Falls News,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
264,https://www.crossroadstoday.com/,KAVU – Victoria News,least biased,high,usa,mostly free,tv station,minimal traffic,high credibility
265,https://www.kbjr6.com/,KBJR – Duluth News,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
266,https://www.12newsnow.com/,KBMT – 12NewsNow,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
267,https://www.kbtx.com/,KBTX News 3,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
268,https://www.kcbd.com/,KCBD – Lubbock News,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
269,https://www.kcci.com/,KCCI Des Moines,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
270,https://www.thedenverchannel.com/,KCDO – Denver News,least biased,high,usa,mostly free,tv station,high traffic,high credibility
271,https://www.kcentv.com/,KCEN – Central Texas News,least biased,high,usa,mostly free,tv station,medium traffic,high credibility
